"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"……Pompaples"	37.9	35.0	35.9	44.4	49.1	54.7	57.5	61.2	41.6	40.8	40.3	43.0	43.6	47.8	52.8	61.1	63.7	67.7	60.6
"Sexe - Total"	"……La Sarraz"	22.7	21.8	20.8	17.0	18.9	31.1	40.5	41.5	34.4	31.5	36.0	31.0	32.5	30.7	32.7	36.5	38.2	34.7	27.4
"Sexe - Total"	"……Senarclens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	2.6	2.6	4.2	4.2	5.9	8.5	8.3
"Sexe - Total"	"……Sévery"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.8	1.7	1.7
"Sexe - Total"	"……Sullens"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.9	0.9	2.5	3.4	4.2	4.2	5.0
"Sexe - Total"	"……Vufflens-la-Ville"	0.9	1.9	0.0	0.0	0.0	0.0	0.0	1.9	1.8	0.9	1.7	0.9	1.7	3.4	5.0	3.4	4.2	4.2	4.2
"Sexe - Total"	"……Assens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	4.3	5.2	6.0	6.8	9.2	5.1	5.1	5.9	5.0
"Sexe - Total"	"……Bercher"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	1.7	1.7	3.4	7.6	11.0	10.2	7.5
"Sexe - Total"	"……Bioley-Orjulaz"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.9	1.7	7.7	15.4	18.4	20.4	32.3	31.3	34.9
"Sexe - Total"	"……Bottens"	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	2.5	0.8	1.7	1.7	3.3
"Sexe - Total"	"……Bretigny-sur-Morrens"	3.8	2.8	0.9	1.9	1.9	0.9	0.9	0.9	1.8	1.7	1.7	1.7	0.9	0.9	1.7	1.7	2.5	2.5	4.2
"Sexe - Total"	"……Cugy (VD)"	7.6	6.6	5.7	5.7	10.4	7.5	17.9	17.9	16.3	14.5	13.7	14.6	21.4	29.0	31.0	41.6	30.6	33.0	42.4
"Sexe - Total"	"……Echallens"	1.9	2.8	2.8	2.8	2.8	2.8	4.7	5.7	5.4	5.1	5.1	8.6	18.8	23.0	28.5	38.2	46.7	53.3	47.3
"Sexe - Total"	"……Essertines-sur-Yverdon"	0.0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	4.2	4.2	0.8
"Sexe - Total"	"……Etagnières"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	5.2	9.4	12.8	13.4	19.5	22.9	22.0	22.4
"Sexe - Total"	"……Fey"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.9	0.9	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Froideville"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.9	1.7	0.0	0.8	0.8	2.5	10.0
"Sexe - Total"	"……Morrens (VD)"	0.0	0.0	0.0	0.0	0.9	2.8	2.8	1.9	1.8	2.6	2.6	1.7	2.6	1.7	1.7	1.7	2.5	2.5	2.5
"Sexe - Total"	"……Oulens-sous-Echallens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.7	1.7
